.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Northern Trust Corporation,NTRS,1297690,38.88,1.74,0.00,4.71,1.20,5.27,4.32,86.23,19930000000.0,0.025074421799862634,1.56,20.19,-0.008472635676666007,0.0113,0.1217,-0.0432,0.5359,2.25,18.51,16.55,4.00,1.90,0,77.74,913571
Nucor Corporation,NUE,3196100,24.63,2.36,2120000000.0,3.60,1.06,4.02,2.48,60.42,20440000000.0,0.01807891840905529,0.78,25.77,-0.0020437038201540636,0.0575,0.1616,-0.0603,0.6918000000000001,2.58,17.75,15.90,1.26,1.76,1,55.01,2225042
NVIDIA Corporation,NVDA,17692800,10.42,0.52,2130000000.0,2.78,0.62,3.30,2.57,108.45,59300000000.0,0.07990675990675977,3.31,41.72,-0.00512820512820511,-0.011200000000000002,0.2943,-0.11320000000000001,2.6165,10.29,38.57,32.49,8.58,2.16,0,82.85,14093465
Newell Brands Inc.,NWL,4231860,23.57,1.63,2350000000.0,3.05,0.85,3.44,1.25,46.62,22580000000.0,0.21269296740994847,1.42,37.37,0,0.0003,-0.0559,-0.1589,0.2702,1.98,15.29,13.56,1.70,4.64,1,49.40,0
Realty Income Corporation,O,1837870,24.59,4.15,978070000.0,1.10,0.30,1.23,1.10,59.67,15720000000.0,0.015186530207989435,11.01,55.07,0.0004952129415649598,0.0189,-0.0062,-0.159,0.1533,2.46,55.27,49.43,14.52,9.56,1,61.18,1192045
"ONEOK, Inc.",OKE,2290740,1.02,4.59,1650000000.0,1.70,0.43,1.89,1.35,55.87,11290000000.0,0.007958541550990184,6.36,39.62,-0.003701647233018801,-0.04,0.0356,-0.098,1.6901,53.07,31.55,28.38,1.39,7.34,1,51.80,1889663
Omnicom Group Inc.,OMC,1639890,9.21,2.58,2300000000.0,5.06,1.43,5.49,4.78,85.51,20010000000.0,-0.01312705110173451,2.46,17.85,-0.0005860290670416379,-0.002,0.0111,-0.0482,0.1318,9.26,16.87,15.54,1.30,11.08,1,84.40,1090334
Oracle Corporation,ORCL,12605800,11.81,1.43,14600000000.0,2.56,0.78,2.80,2.10,39.85,172540000000.0,0.04784804039432533,1.94,20.08,-0.0012022120702093186,0.0555,0.0581,0.0,0.17579999999999998,3.52,16.43,15.02,4.58,2.66,1,39.75,18547555
"O'Reilly Automotive, Inc.",ORLY,827698,17.52,0,1920000000.0,12.37,3.16,14.00,10.73,271.18,24900000000.0,0.16732246580475918,1.47,24.99,0.0,-0.0113,-0.028399999999999998,-0.08439999999999999,0.081,15.23,21.68,19.15,2.88,6.96,0,275.95,738614
"Paychex, Inc.",PAYX,1917370,5.06,3.11,1310000000.0,2.22,0.54,2.40,2.15,60.14,21220000000.0,-0.00941334678097161,3.04,27.50,-0.0005042864346949116,-0.0168,0.004699999999999999,-0.049100000000000005,0.1721,11.76,26.64,24.64,6.97,10.01,0,58.85,1708140
"People's United Financial, Inc.",PBCT,3789650,15.85,3.54,0.00,0.96,0.23,1.09,0.92,19.07,5930000000.0,-0.03475103734439844,10.04,20.86,-0.008298755186721962,0.0066,0.10279999999999999,-0.0467,0.3906,1.22,19.99,17.61,4.66,10.00,0,17.40,2279024
PACCAR Inc.,PCAR,2022610,19.33,1.39,2940000000.0,3.55,0.92,4.08,1.48,67.24,24150000000.0,-0.006535947712418166,3.86,46.52,0,0.024,0.1208,-0.0181,0.4293,3.56,19.39,16.88,1.42,4.30,0,61.43,0
Pacific Gas & Electric Co.,PCG,2050800,35.39,3.07,4410000000.0,3.66,0.84,3.84,2.78,61.55,32460000000.0,0.047641583846032454,3.83,22.99,0.0036283325445654047,0.0385,0.0432,-0.0231,0.16829999999999998,1.79,17.46,16.65,1.82,2.38,1,61.27,2501732
The Priceline Group Inc.,PCLN,375231,198.62,0,4010000000.0,64.71,10.62,74.49,39.18,1569.48,80800000000.0,0.06306339318431653,1.51,41.80,0,0.0433,0.0978,-0.013000000000000001,0.42619999999999997,8.24,25.30,21.98,7.77,3.36,0,1491.50,7
"Patterson Companies, Inc.",PDCO,1782350,14.76,2.18,436980000.0,2.30,0.66,2.44,2.15,41.98,4200000000.0,-0.044302352135190626,1.90,20.46,-0.0006850879196164117,0.05,0.0049,-0.12539999999999998,0.209,2.97,19.17,18.07,0.74,8.18,0,43.86,1516024
Public Service Enterprise Group,PEG,2390540,26.68,3.77,3530000000.0,2.88,0.86,2.92,2.54,43.62,22000000000.0,0.05084745762711873,12.96,17.12,0.0006871278057718477,-0.003,0.0208,-0.0827,0.1072,1.64,15.10,14.89,2.39,4.55,1,42.60,5840019
"Pepsico, Inc.",PEP,4282230,7.88,2.78,12110000000.0,5.13,1.45,5.55,4.36,104.40,154350000000.0,0.07463928967813538,3.31,24.81,-0.007676655567887547,0.0359,0.0253,-0.025099999999999997,0.10880000000000001,13.73,21.08,19.49,2.46,1.78,1,105.48,5498432
"Pfizer, Inc.",PFE,25464300,10.43,3.81,19670000000.0,2.56,0.67,2.79,1.17,32.37,204020000000.0,0.12879238548483052,2.10,28.66,-0.0008923259964305208,0.0385,0.019299999999999998,-0.1008,0.1698,3.22,13.13,12.05,3.86,1.30,1,32.98,34992722
Principal Financial Group Inc C,PFG,1480440,35.55,2.90,1950000000.0,4.88,1.21,5.28,4.50,58.66,17860000000.0,-0.01629392971246013,1.63,13.80,-0.012140575079872207,0.058899999999999994,0.154,-0.0003,0.7474,1.76,12.73,11.77,1.45,4.49,1,53.83,990232
Procter & Gamble Company (The),PG,9379470,20.35,2.94,17770000000.0,3.85,0.80,4.14,5.46,86.66,232870000000.0,0.0054890767372928195,3.15,16.69,0,0.0512,0.0556,-0.003,0.1516,4.48,23.66,22.00,3.57,3.78,1,86.29,1871
Progressive Corporation (The),PGR,2882710,13.72,1.77,1800000000.0,2.15,0.48,2.38,1.76,36.90,22370000000.0,-0.031857031857031815,2.06,21.91,-0.002072002072001977,0.0453,0.1423,-0.001,0.26289999999999997,2.81,17.94,16.21,0.96,1.91,1,33.76,1976978
Parker-Hannifin Corporation,PH,1051650,33.97,1.72,1600000000.0,7.33,2.09,7.78,6.48,146.72,20510000000.0,0.03490706560455936,1.93,23.74,-0.004598147788355766,0.0489,0.1566,-0.0163,0.563,4.55,20.99,19.78,1.84,4.58,1,133.06,1079012
"PulteGroup, Inc.",PHM,5253580,14.60,1.68,1030000000.0,2.23,0.45,2.67,1.75,20.22,6800000000.0,0.12277413308341156,0.65,12.24,-0.0023430178069353547,0.058499999999999996,0.07919999999999999,-0.0446,0.3121,1.46,9.60,8.01,0.88,3.85,1,19.83,3307660
"PerkinElmer, Inc. Common Stock",PKI,688113,19.55,0.50,389800000.0,2.83,0.67,3.16,2.12,53.13,6160000000.0,-0.03235609581694665,2.50,26.34,0,0.0529,0.0524,-0.023399999999999997,0.2335,2.86,19.77,17.70,2.91,5.64,1,53.15,538
"ProLogis, Inc. Common Stock",PLD,2865070,28.21,3.35,1810000000.0,-0.27,0.31,1.36,2.27,51.45,26570000000.0,-0.6915403032721468,-1.83,22.12,0.0003990422984836428,-0.0245,-0.032,-0.08529999999999999,0.3872,1.78,41.48,36.90,9.68,2.35,1,51.85,3262914
"PNC Financial Services Group, I",PNC,2766180,94.38,1.73,0.00,7.91,1.97,8.85,7.30,120.45,61530000000.0,-0.011893509766855659,1.98,17.38,-0.009688090737239974,0.053200000000000004,0.2328,-0.0083,0.639,1.35,16.04,14.33,4.18,1.82,1,102.90,1733953
Pentair plc. Ordinary Share,PNR,1107850,23.40,2.37,881700000.0,3.47,1.02,3.79,2.86,58.57,10600000000.0,0.07001548253913636,1.80,20.42,-0.00034405642525381364,-0.0044,-0.0241,-0.12960000000000002,0.25379999999999997,2.48,16.80,15.39,2.16,5.12,1,59.75,21489
Pinnacle West Capital Corporati,PNW,632905,43.64,3.33,1410000000.0,3.95,0.10,4.22,3.84,77.60,8760000000.0,-0.010693825588796946,3.75,20.48,0.0019096117122852085,0.014199999999999999,0.032799999999999996,-0.0493,0.1885,1.80,19.92,18.65,2.50,4.40,1,76.20,412907
"PPG Industries, Inc.",PPG,1565260,18.75,1.56,2560000000.0,6.23,1.86,6.88,3.28,99.12,26320000000.0,0.08489731748059359,1.94,31.20,-0.0005895647047263752,0.032799999999999996,0.0339,-0.125,0.142,5.43,16.43,14.88,1.77,2.05,1,99.01,1305967
PPL Corporation,PPL,3568800,14.56,4.43,4050000000.0,2.16,0.52,2.32,2.79,34.78,24220000000.0,0.033679483581251723,6.78,12.77,0,0.0245,0.0361,-0.1075,0.1107,2.45,16.50,15.36,3.22,3.45,1,34.39,0
"Prudential Financial, Inc. Comm",PRU,2224270,106.49,2.70,7750000000.0,10.43,2.67,11.09,9.71,105.64,47860000000.0,0.016612787356321768,1.19,11.44,-0.00969827586206895,0.0518,0.2186,0.0,0.7996,1.05,10.65,10.02,0.92,2.52,1,91.18,2518715
Public Storage Common Stock,PSA,825764,29.12,3.54,1840000000.0,6.69,1.69,7.45,6.53,219.40,39160000000.0,-0.0329110559886604,3.97,34.58,0,0.028999999999999998,0.0356,-0.1867,0.1251,7.75,33.75,30.30,15.13,6.13,1,218.01,0
Phillips 66,PSX,2318530,43.98,3.20,2260000000.0,4.64,1.47,6.37,2.92,82.34,40820000000.0,0.1575796178343949,-2.67,26.94,-0.00012738853503191372,-0.0446,-0.0366,-0.1344,0.0677,1.79,16.95,12.35,0.57,3.63,1,81.64,2219183
PVH Corp.,PVH,1315240,60.33,0.17,1070000000.0000001,6.76,1.61,7.30,7.15,91.04,7160000000.0,0.26366413941382816,2.04,12.64,-0.002036890347403064,-0.0079,-0.1148,-0.2173,0.2565,1.46,13.36,12.37,0.85,1.41,1,102.04,1239062
"Quanta Services, Inc. Common St",PWR,1938460,21.66,0,475880000.0,1.51,0.40,2.02,0.67,35.49,5630000000.0,-0.0076861913596607545,0.83,56.00,-0.006095944871455039,0.0492,0.2297,-0.022099999999999998,1.1098999999999999,1.74,24.66,18.44,0.77,4.38,1,30.28,2265173
"Praxair, Inc. Common Stock",PX,1485010,17.57,2.68,3460000000.0,5.47,1.43,6.21,5.21,117.21,33640000000.0,-0.9863737012433997,3.19,22.60,-0.0010219724067450642,0.0045000000000000005,-0.0074,-0.0581,0.1681,6.68,20.55,18.96,3.18,2.32,1,118.61,51058
"PayPal Holdings, Inc.",PYPL,6525020,12.19,0,2100000000.0,1.72,0.42,2.03,1.15,40.93,50670000000.0,0.1110320284697508,1.48,36.49,-0.005456702253855195,0.025099999999999997,0.051500000000000004,-0.0575,0.2341,3.46,24.40,20.67,4.69,3.75,0,39.90,5106199
QUALCOMM Incorporated,QCOM,11921200,21.12,3.75,8550000000.000001,4.65,1.11,4.79,3.28,60.21,83390000000.0,0.1606447042153738,1.16,17.22,0.006907545164718476,-0.0623,-0.1177,-0.21170000000000003,0.15789999999999998,2.67,12.14,11.79,3.51,0.65,0,63.99,12456638
"Ryder System, Inc. Common Stock",R,643926,38.39,2.28,1810000000.0,5.23,1.37,5.97,4.90,76.03,4130000000.0,-0.002202928599196574,0.98,15.74,0,0.015,0.0748,-0.0966,0.42200000000000004,2.01,14.76,12.93,0.61,4.28,1,71.80,0
Reynolds American Inc Common St,RAI,7546980,15.23,3.36,6030000000.0,2.57,0.65,2.77,4.25,58.06,86600000000.0,-0.016801185966068277,2.35,14.29,0.0004941525284138937,0.0461,0.1493,-0.003,0.4,3.99,23.63,21.92,6.92,0.77,1,52.84,3819105
Royal Caribbean Cruises Ltd.,RCL,1700350,42.51,2.02,2380000000.0,7.05,1.42,8.05,5.93,90.14,20430000000.0,0.09882205775044284,0.93,16.06,-0.00239758156989478,0.056299999999999996,0.2077,-0.0227,0.46590000000000004,2.26,13.50,11.83,2.42,2.42,1,78.84,1495032
"Regeneron Pharmaceuticals, Inc.",REGN,953461,42.19,0,1440000000.0,13.02,3.24,15.70,7.70,363.10,39150000000.0,0.13312959090665388,1.53,48.21,-0.0016084928422067657,0.0223,-0.0359,-0.1805,0.1409,8.84,28.51,23.64,8.09,1.85,0,385.02,775547
Regions Financial Corporation C,RF,20834200,13.04,1.69,0.00,0.97,0.24,1.12,0.87,14.44,18690000000.0,-0.015394483643361156,2.68,17.60,-0.01347017318794097,0.0654,0.3018,-0.0016,1.1331,1.20,15.86,13.73,3.55,1.79,1,11.81,11504434
Robert Half International Inc.,RHI,1291660,8.50,1.98,617540000.0,2.67,0.69,2.87,2.67,48.54,6210000000.0,-0.01685042646141044,2.48,18.20,-0.001664239650509658,0.001,0.1512,-0.046900000000000004,0.415,5.65,18.20,16.93,1.17,2.52,1,42.21,811884
"Red Hat, Inc.",RHT,1964310,7.12,0,398370000.0,2.27,0.59,2.59,1.31,75.77,14730000000.0,0.05727952900772726,2.28,63.05,-0.001717159327854767,0.0901,0.084,-0.0016,0.29760000000000003,11.46,36.39,31.89,6.25,4.07,1,76.20,1817315
Ralph Lauren Corporation,RL,1631950,43.92,2.55,1010000000.0,5.59,0.84,5.25,1.75,84.93,6440000000.0,0.03224162100165673,5.01,44.82,-0.005224926723588541,-0.077,-0.1984,-0.3124,0.0366,1.79,14.02,14.93,0.93,6.65,1,97.79,1802185
"Rockwell Automation, Inc.",ROK,1072950,15.94,2.00,1190000000.0,6.29,1.56,6.82,5.81,145.66,19540000000.0,-0.021727679747168716,3.11,26.16,-0.00842770608375032,0.043,0.1782,-0.0226,0.5201,9.53,24.15,22.28,3.29,2.15,1,128.94,691558
"Roper Technologies, Inc.",ROP,562266,57.05,0.68,1300000000.0,9.08,2.24,9.99,6.43,192.04,21020000000.0,0.07257869542091777,1.73,32.21,-0.0015473139596731134,0.0786,0.1408,-0.0022,0.3005,3.63,22.81,20.73,5.54,5.20,1,181.57,1076865
"Ross Stores, Inc.",ROST,2586640,6.72,0.79,2040000000.0,2.82,0.82,3.14,2.72,66.59,27020000000.0,0.04600058599472612,2.21,25.20,-0.0005859947260475895,0.029500000000000002,0.056900000000000006,-0.018000000000000002,0.31829999999999997,10.15,24.31,21.83,2.13,3.00,0,64.86,4137520
"Republic Services, Inc. Common",RSG,1218770,22.66,2.11,2650000000.0,2.36,0.60,2.59,1.78,57.29,20620000000.0,0.019813717188823077,2.55,34.13,0.0028789161727349466,0.0603,0.13720000000000002,-0.0006,0.3726,2.61,25.74,23.46,2.13,5.46,1,53.42,2822494
Raytheon Company Common Stock,RTN,1838250,34.38,1.92,3690000000.0,7.40,1.83,8.30,7.44,146.10,44770000000.0,0.09843165562044764,1.72,20.54,-0.0005905899337225184,0.0463,0.07519999999999999,-0.0005,0.2804,4.43,20.66,18.42,1.85,1.35,1,142.17,1529202
Starbucks Corporation,SBUX,9200480,3.98,1.57,4950000000.0,2.13,0.55,2.45,1.95,56.70,83990000000.0,0.1257192676547516,1.71,29.55,0.0010462074978203617,0.016399999999999998,0.0353,-0.06509999999999999,0.1336,14.42,27.06,23.52,3.86,1.36,0,55.67,371641
SCANA Corporation,SCG,833271,39.71,3.50,1590000000.0,4.26,0.68,4.50,4.16,70.12,9380000000.0,0.06120023767082605,2.63,15.77,0.0013368983957220415,-0.0637,-0.0802,-0.1408,0.044500000000000005,1.70,15.41,14.59,2.28,4.79,1,71.37,1555081
Charles Schwab Corporation (The,SCHW,8559760,10.03,0.77,0.00,1.58,0.38,1.95,1.31,40.98,55080000000.0,0.09217809867629367,1.34,31.72,-0.009145607701564251,0.0138,0.1753,-0.024900000000000002,0.8065000000000001,4.14,26.30,21.31,7.38,2.78,1,35.35,4713679
Spectra Energy Corp,SE,3439860,16.05,4.28,2360000000.0,1.41,0.27,1.64,1.00,42.01,29530000000.0,0.031151895677372865,2.59,41.09,-0.0028978507606857162,-0.0218,0.0076,-0.0661,0.485,2.58,29.14,25.05,6.05,3.93,1,40.78,5572249
Sealed Air Corporation,SEE,1616210,3.15,1.34,1040000000.0,2.73,0.72,3.03,2.46,48.20,9240000000.0,0.08975161761636419,2.11,19.41,0.0,-0.0091,0.022400000000000003,-0.096,0.1369,15.20,17.49,15.76,1.37,4.06,1,46.71,1642917
Sherwin-Williams Company (The),SHW,850510,17.37,1.09,1950000000.0,13.80,4.47,15.28,11.99,293.48,28670000000.0,0.04582703988173664,2.10,25.97,0.000257094192884777,0.060899999999999996,0.11779999999999999,-0.0036,0.30010000000000003,17.92,22.56,20.38,2.42,1.02,1,278.53,474456
Signet Jewelers Limited,SIG,1473010,32.06,1.41,905100000.0,7.42,2.07,7.87,6.68,80.57,5140000000.0,0.4465160587915078,0.83,11.06,-0.0010887316276537717,-0.0827,-0.12539999999999998,-0.4108,0.0441,2.29,9.96,9.39,0.75,5.50,1,84.50,909557
J.M. Smucker Company (The) New,SJM,905102,62.20,2.21,1660000000.0,7.67,1.91,8.03,5.74,132.93,15830000000.0,0.0073998839233895275,3.36,23.67,-0.03932095182820672,0.0227,0.0021,-0.1358,0.11630000000000001,2.22,17.72,16.93,2.16,5.89,1,135.66,3590309
SL Green Realty Corporation,SLG,724214,70.63,2.79,1060000000.0,1.88,0.46,2.23,2.34,108.75,11190000000.0,0.08312365204888561,1.29,47.62,0,0.0233,0.0229,-0.0775,0.32,1.58,59.19,49.90,5.97,7.35,1,108.79,0
Snap-On Incorporated Common Sto,SNA,447710,45.1630,1.6500,926700000.0,10.0700,2.5500,11.0400,9.2000,174.0680,10020000000.0,0.14255084893086867,1.7200,18.7940,0.0018543199860925341,-0.0066820000000000004,0.065893,-0.048562,0.212942,3.8210,17.1703,15.6617,2.6952,7.4100,1,162.2160,3956
"Scripps Networks Interactive, I",SNI,970932,15.70,1.58,1480000000.0,5.27,1.26,5.32,6.05,75.41,9820000000.0,-0.06614785992217886,1.47,12.57,-0.0009079118028533228,0.0083,0.11599999999999999,-0.034300000000000004,0.39649999999999996,4.91,14.43,14.29,2.96,10.57,0,68.14,1292821
Southern Company (The),SO,4493460,25.05,4.69,7410000000.0,2.90,0.70,2.99,2.66,48.83,46840000000.0,0.051409618573797555,5.30,17.95,0.0006218905472636926,-0.021099999999999997,-0.042300000000000004,-0.1252,0.0346,1.93,16.48,15.99,2.59,5.09,1,49.91,7118347
"Simon Property Group, Inc. Comm",SPG,1675180,13.58,3.87,4019999999.9999995,6.49,1.52,6.79,5.87,182.02,56910000000.0,0.17395914722625294,2.81,30.85,0.0010045764036166194,-0.0051,-0.0731,-0.2096,0.0461,13.20,27.90,26.67,10.40,2.95,1,195.38,1657816
S&P Global Inc.,SPGI,1455470,2.52,1.26,2470000000.0,6.01,1.58,6.66,7.94,118.85,33689999999.999996,0.09182800715340922,1.78,16.42,-0.0017883523831740966,0.0971,0.0827,-0.0002,0.5275,51.12,21.70,19.58,5.87,1.42,1,120.43,1339162
"Stericycle, Inc.",SRCL,1100860,32.83,0,818540000.0,4.61,1.14,4.77,2.08,78.44,7270000000.0,0.05278944211157777,2.24,41.00,-0.002039592081583552,0.0855,0.08070000000000001,-0.3396,0.1906,2.54,18.47,17.85,2.00,7.81,0,78.79,2140505
Sempra Energy,SRE,967919,49.31,2.85,2830000000.0,4.82,1.69,5.11,5.39,102.72,26500000000.0,0.08659112370160527,3.56,19.64,9.442870632669909e-05,0.0305,0.0218,-0.0768,0.1388,2.15,21.96,20.71,2.65,5.03,1,103.59,893862
"SunTrust Banks, Inc. Common Sto",STI,3624410,45.56,1.75,0.00,3.84,0.97,4.33,3.60,56.73,29290000000.0,0.005202215136767885,3.45,16.55,0,0.0504,0.2046,-0.011899999999999999,0.8366,1.31,15.52,13.76,3.59,3.26,1,49.47,0
State Street Corporation Common,STT,2188720,47.19,1.88,0.00,5.79,1.54,6.51,4.97,79.29,30810000000.0,0.06160902442047855,1.83,16.23,0,0.0173,0.08470000000000001,-0.0338,0.5943999999999999,1.71,13.93,12.39,3.02,2.31,1,74.37,0
Seagate Technology PLC,STX,5045480,5.16,5.35,1710000000.0,4.49,1.07,4.55,1.71,41.99,13910000000.0,-0.04225352112676051,0.62,27.50,-0.0033634643682993737,0.1226,0.2571,-0.0286,1.5592,9.22,10.50,10.36,1.28,5.52,0,37.50,7009
"Constellation Brands, Inc.",STZ,2007420,35.26,0.99,2400000000.0,6.65,1.88,7.52,6.46,152.07,31630000000.0,0.11034004163775157,1.38,24.96,-0.0022711500851679833,0.060899999999999996,0.0138,-0.0705,0.1754,4.50,24.26,21.45,4.29,2.19,1,159.12,2435208
"Stanley Black & Decker, Inc.",SWK,921681,41.73,1.83,1880000000.0,6.95,1.91,7.58,6.51,121.56,19320000000.0,0.05767405063291142,1.77,19.45,-0.0026107594936709555,0.04190000000000001,0.049,-0.0165,0.3831,3.03,18.22,16.71,1.69,2.39,1,120.74,486607
"Skyworks Solutions, Inc.",SWKS,2491520,19.81,1.16,1370000000.0,6.21,1.49,7.07,4.73,86.04,17820000000.0,-0.03923196678775298,1.01,20.39,0,0.1198,0.2412,-0.0033,0.6870999999999999,4.86,15.52,13.63,5.44,3.47,0,77.62,972
Synchrony Financial Common Stoc,SYF,5961710,17.37,1.42,0.00,3.05,0.74,3.39,2.71,36.42,29980000000.0,0.16984732824427473,1.11,13.54,0,0.0072,0.1607,-0.0361,0.5776,2.11,12.03,10.82,4.29,1.42,1,31.60,100
Stryker Corporation,SYK,1386640,25.47,1.35,3110000000.0,6.41,1.52,7.04,4.35,122.38,47110000000.0,0.041351888667992,2.01,29.04,-0.0007952286282305598,0.032400000000000005,0.08220000000000001,-0.006999999999999999,0.313,4.94,19.71,17.95,4.14,4.59,1,116.74,863137
Symantec Corporation,SYMC,7386930,6.38,1.04,875000000.0,1.19,0.39,1.76,3.32,26.94,17820000000.0,0.023182297154899834,1.61,8.68,-0.00035124692658927703,0.0689,0.1562,-0.0187,0.7844,4.46,24.20,16.36,4.66,2.26,0,24.91,5580407
Sysco Corporation,SYY,3525050,4.58,2.52,3000000000.0,2.48,0.72,2.75,1.83,53.56,28280000000.0,0.037440305635148,1.78,28.54,0,-0.0226,0.0052,-0.0827,0.24489999999999998,11.43,21.11,19.04,0.53,3.81,1,52.08,0
AT&T Inc.,T,21365000,20.06,4.73,50560000000.0,2.95,0.76,3.04,2.10,41.45,254650000000.0,0.04363636363636347,1.67,19.75,-0.0019393939393939075,0.0008,0.028300000000000002,-0.054900000000000004,0.149,2.06,14.06,13.64,1.55,4.22,1,40.34,24158682
Molson Coors Brewing Company Cl,TAP,1527550,53.13,1.61,851000000.0,6.38,1.98,6.87,9.26,97.01,21840000000.0,0.17595190380761516,3.06,10.97,0.0012024048096193063,0.0472,0.0059,-0.09449999999999999,0.21719999999999998,1.88,15.92,14.94,4.39,2.13,1,101.00,2856531
Teradata Corporation,TDC,1584480,7.46,0,449000000.0,1.43,0.38,1.46,0.95,29.42,4040000000.0,-0.050531058899259795,4.48,32.71,-0.003862246540070835,0.056100000000000004,0.0571,-0.0675,0.30879999999999996,4.16,21.73,21.28,1.74,14.24,1,29.39,2124002
TE Connectivity Ltd. New Switze,TEL,1520690,24.86,1.97,2630000000.0,4.43,1.12,4.77,5.72,72.26,26720000000.0,0.06076319638345984,2.11,13.16,0,0.0408,0.1329,-0.0167,0.379,3.03,16.98,15.77,2.14,1.62,1,66.39,0
TEGNA Inc,TGNA,1752720,10.27,2.30,1160000000.0,2.25,0.41,1.88,2.02,22.54,5230000000.0,0.028383381324557755,1.08,12.08,-0.0016454134101192563,0.0814,0.1313,-0.0398,0.3607,2.37,10.83,12.96,1.60,3.63,1,21.54,1398948
Target Corporation,TGT,5568920,19.64,3.65,7470000000.0,5.05,1.33,5.34,5.62,67.00,36950000000.0,0.132208588957055,2.48,11.71,0.0006134969325151118,-0.018000000000000002,-0.0679,-0.2181,0.0454,3.32,13.03,12.32,0.52,5.48,1,70.58,4235409
Tiffany & Co.,TIF,1910400,23.37,2.09,934800000.0,3.66,0.69,3.88,3.57,79.60,10730000000.0,0.012408143597157029,3.09,24.13,0.0007228044813876178,0.08259999999999999,0.1465,-0.0023,0.5123,3.55,23.55,22.21,2.59,6.66,1,75.17,2755002
"TJX Companies, Inc. (The)",TJX,3449830,6.64,1.35,4480000000.0,3.52,0.81,3.79,3.41,75.84,50320000000.0,0.10373551997917474,2.24,22.61,-0.0026031498112716323,0.0178,0.011399999999999999,-0.0771,0.0989,11.57,21.93,20.37,1.53,2.98,1,76.32,6142925
Torchmark Corporation Common St,TMK,475805,42.78,0.73,863000000.0,4.69,1.16,5.02,4.49,74.44,9140000000.0,-0.05627593360995853,2.24,17.15,-0.00012966804979264168,0.0353,0.12710000000000002,-0.0048,0.5822999999999999,1.80,16.43,15.35,2.33,4.26,1,68.37,48751
Thermo Fisher Scientific Inc,TMO,2023970,54.58,0.38,4550000000.0,9.16,2.26,10.10,5.09,148.73,62600000000.0,0.0956185403588865,1.63,31.16,-0.0005706676811869649,0.0666,0.059800000000000006,-0.0127,0.24280000000000002,2.89,17.32,15.71,3.41,2.12,1,149.68,1207502
"TripAdvisor, Inc.",TRIP,2298700,10.42,0,267000000.0,1.27,0.33,1.53,0.82,51.28,6780000000.0,0.03357416064598384,5.67,57.39,0,-0.0823,-0.1655,-0.3436,0.0313,4.52,37.06,30.76,4.58,6.89,0,56.40,125
"T. Rowe Price Group, Inc.",TROW,1891010,20.46,3.04,1930000000.0,4.82,1.21,5.07,4.75,71.52,17310000000.0,0.005748738081884586,1.87,14.97,-0.007992148065058768,-0.0059,0.0134,-0.1,0.1291,3.49,14.75,14.02,4.11,4.33,0,70.16,1261032
"The Travelers Companies, Inc.",TRV,1567860,83.05,2.20,5120000000.0,9.50,2.16,9.92,10.28,118.55,34110000000.0,0.0006568683799983432,2.24,11.86,-0.0005747598324986614,0.0287,0.051399999999999994,-0.009300000000000001,0.1788,1.47,12.84,12.29,1.24,3.71,1,115.99,1334680
Tractor Supply Company,TSCO,1543850,11.08,1.33,837040000.0,3.50,1.30,3.91,3.27,74.55,9470000000.0,0.1761467889908257,1.60,22.07,-0.0007057163020465218,-0.0318,-0.0279,-0.25780000000000003,0.17370000000000002,6.39,20.62,18.46,1.37,3.41,0,74.25,3440232
"Tyson Foods, Inc. Common Stock",TSN,3950330,26.01,1.38,3780000000.0,5.01,1.18,5.00,4.96,62.95,23960000000.0,0.08366718027734965,5.74,13.17,-0.002927580893682724,0.036699999999999997,-0.044199999999999996,-0.153,0.17120000000000002,2.49,13.03,13.05,0.65,4.72,1,68.28,2850572
Tesoro Corporation,TSO,2511710,69.58,2.54,2340000000.0,6.20,2.11,6.98,6.12,83.69,10120000000.0,0.21288547518055712,-0.60,14.15,-0.0050441361916770955,0.0352,0.051500000000000004,-0.07339999999999999,0.2734,1.25,13.97,12.41,0.41,3.11,1,82.40,1539336
"Total System Services, Inc.",TSS,1297000,11.43,0.73,975100000.0,3.12,0.80,3.46,1.73,52.75,10000000000.0,0.0908248378127896,1.49,31.49,-0.00018535681186293562,0.0326,0.09390000000000001,-0.0366,0.31980000000000003,4.72,17.46,15.74,2.38,1.00,1,49.80,892499
Time Warner Inc. New Common Sto,TWX,4267060,31.52,1.67,8340000000.0,5.95,1.31,6.56,4.95,95.80,74480000000.0,0.09243697478991586,1.43,19.48,-0.002904865649963728,0.0070999999999999995,0.113,-0.0089,0.5509000000000001,3.06,16.22,14.71,2.54,1.33,1,86.68,3991667
